21_JUMP_STREET.srt 	21_JUMP_STREET_DVS611 	01:33:41,00 --> 01:33:50,50 	the cops step on someone's discarded fake nose as they races from the sweet.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS591 	01:33:10,00 --> 01:33:16,50 	as he races away, someone turns to the audience.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS633 	01:37:54,00 --> 01:38:00,50 	racing in, someone and someone aim their guns at someone's head.
BLINDDATING.srt 	BLINDDATING_DVS36 	00:12:04,00 --> 00:12:08,50 	a woman races to the desk.
BRUNO.srt 	BRUNO_DVS127 	00:29:09,00 --> 00:29:14,50 	he races away, as a group of men run toward him.
BRUNO.srt 	BRUNO_DVS254 	01:09:07,00 --> 01:09:21,50 	he races into the night.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS224 	00:39:38,00 --> 00:39:47,50 	someone races up a parallel street, then tries to turn on to a main road, but instead crashes through a shop's front window.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS382 	01:08:39,00 --> 01:08:46,50 	he takes several steps backward, sighs, then races forward and leaps off the catwalk.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS668 	01:52:34,00 --> 01:52:49,50 	someone barrels past security guards as he races down a hallway.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS203 	00:16:27,00 --> 00:16:33,50 	he races through an open door to find someone on the kitchen floor.
CHRONICLE.srt 	CHRONICLE_DVS154 	00:23:31,00 --> 00:23:35,50 	someone races away.
COLOMBIANA.srt 	COLOMBIANA_DVS108 	00:08:48,00 --> 00:08:58,50 	someone sees her mother racing back up the stairs.
COLOMBIANA.srt 	COLOMBIANA_DVS139 	00:12:49,00 --> 00:12:56,50 	racing into a bathroom, she slides open a window, pulls herself out and drops onto a ledge.
COLOMBIANA.srt 	COLOMBIANA_DVS145 	00:13:15,00 --> 00:13:22,50 	the gunman follows her as she races across the street and enters a building.
COLOMBIANA.srt 	COLOMBIANA_DVS154 	00:13:45,00 --> 00:13:55,50 	she races past an elderly man in a garden.
COLOMBIANA.srt 	COLOMBIANA_DVS158 	00:14:05,00 --> 00:14:12,50 	as someone's men burst in after her, she races down a balcony.
COLOMBIANA.srt 	COLOMBIANA_DVS825 	01:19:39,00 --> 01:19:47,50 	she races to a door, unlocks it, and slips into a living room where a long haired man watches tv.
COLOMBIANA.srt 	COLOMBIANA_DVS1004 	01:35:45,00 --> 01:35:52,50 	someone races away.
DEAR_JOHN.srt 	DEAR_JOHN_DVS673 	01:30:52,00 --> 01:30:57,50 	someone gets out and races away.
DISTRICT_9.srt 	DISTRICT_9_DVS412 	00:45:26,00 --> 00:45:36,50 	prawn someone wears a hospital gown and scrub bottoms as he races over a hill beside the highway, and darts behind the backs of two guards.
DISTRICT_9.srt 	DISTRICT_9_DVS461 	00:53:22,00 --> 00:53:29,50 	now he races back to the meat seller's stall and steals an ax off a table.
DISTRICT_9.srt 	DISTRICT_9_DVS463 	00:53:30,00 --> 00:53:45,50 	someone races away and ducks behind some shrubbery.
DISTRICT_9.srt 	DISTRICT_9_DVS781 	01:32:32,00 --> 01:32:37,50 	the robot races away.
DISTRICT_9.srt 	DISTRICT_9_DVS790 	01:33:29,00 --> 01:33:41,50 	abandoning the metal hatch, he races up a narrow path.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS214 	00:34:18,00 --> 00:34:45,50 	someone begins to change as he races through the warehouse's abandoned rooms.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS239 	00:38:06,00 --> 00:38:30,50 	dropping his gun, a guard races away.
