21_JUMP_STREET.srt 	21_JUMP_STREET_DVS537 	01:22:58,00 --> 01:23:02,50 	someone regards his partner
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS426 	01:00:16,00 --> 01:00:23,50 	craning her neck, tubman regards the newcomers with a furrowed brow.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS569 	01:19:25,00 --> 01:19:35,50 	someone regards his old friend solemnly.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS424 	01:07:59,00 --> 01:08:04,50 	someone regards him amiably.
BLINDDATING.srt 	BLINDDATING_DVS192 	00:48:57,00 --> 00:49:04,50 	someone wryly regards the muscular guy's grin.
BURLESQUE.srt 	BURLESQUE_DVS157 	00:22:13,00 --> 00:22:18,50 	as someone waits, she regards him plainly.
BURLESQUE.srt 	BURLESQUE_DVS648 	01:39:57,00 --> 01:40:04,50 	she leaves the window and regards an architectural model of a city block set up on a table.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS287 	00:21:59,00 --> 00:22:05,50 	as someone catches his breath, the older man regards him gravely.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS581 	00:56:20,00 --> 00:56:25,50 	someone regards him with a weary sneer.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS664 	01:04:31,00 --> 01:04:36,50 	the teacher regards him with a concerned gaze.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS688 	01:07:09,00 --> 01:07:15,50 	someone's smile fades and she regards him compassionately.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS769 	01:16:42,00 --> 01:16:48,50 	someone regards her grieving friend with glistening eyes.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS856 	01:24:32,00 --> 01:24:37,50 	someone regards his smiling mother appreciatively.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS258 	01:03:26,00 --> 01:03:32,50 	someone regards the paper, nods and smiles.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS438 	01:45:22,00 --> 01:45:30,50 	as she closes her eyes, someone regards his three children standing in a row.
COLOMBIANA.srt 	COLOMBIANA_DVS637 	00:59:59,00 --> 01:00:07,50 	halting a few yards from the foot of the bed, she regards the ponzi schemer with a cold determined gaze.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS270 	01:06:09,00 --> 01:06:16,50 	someone hands the napkin to someone, who regards him dubiously.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS258 	01:08:47,00 --> 01:08:59,50 	later someone lies on top of someone, regarding him with a tender smile.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS110 	00:18:08,00 --> 00:18:31,50 	the boy regards the rider calmly as it arrives before him.
