21_JUMP_STREET.srt 	21_JUMP_STREET_DVS539 	01:23:25,00 --> 01:23:38,50 	now, in slow motion the door of a white limousine opens, releasing doves.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS66 	00:15:17,00 --> 00:15:21,50 	he releases him.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS320 	01:11:42,00 --> 01:11:48,50 	a buckle adorned with a smiley face sticker releases four straps.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS259 	00:22:31,00 --> 00:22:38,50 	switching gears, someone releases the clutch and peels out after them.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS759 	01:15:23,00 --> 01:15:31,50 	someone releases a triumphant sigh.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS807 	01:20:41,00 --> 01:20:47,50 	inside, the hoses continue releasing gas.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS608 	01:24:36,00 --> 01:25:32,50 	as someone fends off the attacker, someone lifts his ax, twirls it, releasing a spray of blood, then slashes off the vampire's head.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS647 	01:39:17,00 --> 01:39:22,50 	someone releases his grip on someone's shoulder.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS323 	01:01:19,00 --> 01:01:34,50 	someone unlocks the cell doors and releases prisoners including an asian man.
CHRONICLE.srt 	CHRONICLE_DVS243 	00:34:51,00 --> 00:34:56,50 	peering up at us, he releases the camera into the air.
COLOMBIANA.srt 	COLOMBIANA_DVS88 	00:06:51,00 --> 00:06:57,50 	releasing her hand, he draws her in and kisses her brow.
COLOMBIANA.srt 	COLOMBIANA_DVS1025 	01:37:10,00 --> 01:37:17,50 	she releases the weapon, catches it in her other hand, and points at him again.
COLOMBIANA.srt 	COLOMBIANA_DVS1050 	01:38:45,00 --> 01:38:56,50 	as he points it at someone, she quickly releases the weapon's magazine from its hand grip then yanks the slide from the barrel and stabs him in the neck with it.
DEAR_JOHN.srt 	DEAR_JOHN_DVS585 	01:22:13,00 --> 01:22:17,50 	releasing his grip on the board.
DISTRICT_9.srt 	DISTRICT_9_DVS749 	01:28:39,00 --> 01:28:58,50 	as it releases a burst of smoke, someone crouches and covers his mouth.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS275 	00:42:34,00 --> 00:42:43,50 	under the boy's steady stare, he releases someone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS550 	01:18:25,00 --> 01:18:38,50 	someone releases his victim and staggers back, looking on.
HUGO.srt 	HUGO_DVS30 	00:03:39,00 --> 00:03:44,50 	the man releases a wind-up mouse, watches it scoot across the counter,
HUGO.srt 	HUGO_DVS48 	00:05:46,00 --> 00:05:52,50 	the man releases the boy's arm then opens the notebook.
HUGO.srt 	HUGO_DVS778 	01:53:03,00 --> 01:53:09,50 	the inspector releases someone who carries the automaton to someone.
IN_TIME.srt 	IN_TIME_DVS168 	00:18:16,00 --> 00:18:21,50 	as someone releases him, someone checks his clock.
IN_TIME.srt 	IN_TIME_DVS456 	00:49:20,00 --> 00:49:27,50 	he releases the heiress, pounds the car with his fist, and joins his men.
IN_TIME.srt 	IN_TIME_DVS498 	00:53:49,00 --> 00:53:54,50 	they watch their own clocks, then release each other.
IN_TIME.srt 	IN_TIME_DVS545 	00:58:39,00 --> 00:58:46,50 	then releases his wrist and slides hers out of his grasp.
IN_TIME.srt 	IN_TIME_DVS595 	01:03:35,00 --> 01:03:44,50 	someone releases his weapon as he falls back.
IN_TIME.srt 	IN_TIME_DVS861 	01:30:54,00 --> 01:31:01,50 	reaching a vault in an adjacent room, he releases someone and moves to the metal door.
INSIDE_MAN.srt 	INSIDE_MAN_DVS125 	00:36:10,00 --> 00:36:15,50 	three cops frisk the released man and pulls off the mask.
IRON_MAN_2.srt 	IRON_MAN_2_DVS596 	01:42:43,00 --> 01:43:17,50 	still holding the cord, someone knocks one guard out and releases the cord.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS441 	01:21:48,00 --> 01:21:53,50 	someone attacks someone, who releases someone.
KARATE_KID.srt 	KARATE_KID_DVS482 	00:43:34,00 --> 00:43:40,50 	someone lifts his arms, then releases a powerful frontward kick.
KARATE_KID.srt 	KARATE_KID_DVS614 	00:53:05,00 --> 00:53:12,50 	he releases mr.
KARATE_KID.srt 	KARATE_KID_DVS614 	00:53:05,00 --> 00:53:12,50 	someone releases someone's.
KARATE_KID.srt 	KARATE_KID_DVS909 	01:14:04,00 --> 01:14:11,50 	he releases the boy and shuffles off.
KARATE_KID.srt 	KARATE_KID_DVS1577 	02:08:35,00 --> 02:08:41,50 	someone stares, wide-eyed, as his master releases his grip.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS310 	00:39:17,00 --> 00:39:24,50 	it springs open releasing a powerful current of water and air bubbles.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS312 	00:39:28,00 --> 00:39:35,50 	releasing it, he drifts back down the corridor and returns to the deck.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS507 	00:56:02,00 --> 00:56:11,50 	as he tries to release the line, someone lunges over the prow swiping his massive claws at his head.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS121 	00:19:33,00 --> 00:19:40,50 	as it releases a stream of white droppings, someone lets go of the landing.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS336 	01:14:05,00 --> 01:14:11,50 	someone releases him, then turns to someone.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS342 	01:14:50,00 --> 01:15:01,50 	with a nod, someone releases his father's hand and turns away.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS404 	01:24:49,00 --> 01:24:54,50 	he releases the pose.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS437 	01:30:56,00 --> 01:31:13,50 	someone catches the bird, points him in a new direction, and releases him.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS341 	01:24:20,00 --> 01:24:25,50 	then releases it into the stream of discarded objects.
PROMETHEUS.srt 	PROMETHEUS_DVS320 	00:31:10,00 --> 00:31:20,50 	someone releases two into the air.
PROMETHEUS.srt 	PROMETHEUS_DVS444 	00:46:47,00 --> 00:46:53,50 	someone easily releases the helmet, lifting the trunk like snout.
PROMETHEUS.srt 	PROMETHEUS_DVS694 	01:13:59,00 --> 01:14:07,50 	he releases the model of earth, letting it float back up again and gazes after it ardently.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS271 	01:05:02,00 --> 01:05:09,50 	into a slender pouch on the birds leg and releases it.
SANCTUM.srt 	SANCTUM_DVS82 	00:17:11,00 --> 00:17:17,50 	someone releases virgil into the pool and the robot sets off after the diver.
SANCTUM.srt 	SANCTUM_DVS455 	01:25:22,00 --> 01:25:30,50 	he lowers himself to the ground and leans against the tunnel's wall, then releases the button for his watch light.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS141 	00:26:53,00 --> 00:26:58,50 	someone releases the bird.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS402 	01:24:09,00 --> 01:24:14,50 	he releases someone.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS93 	00:13:29,00 --> 00:13:36,50 	someone pulls back a branch and releases it at the dog, but the rottweiler crashes through it.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS262 	00:39:13,00 --> 00:39:18,50 	someone releases a rope and the lifeboat falls.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS575 	01:19:19,00 --> 01:19:25,50 	someone releases the falcon, which swoops over the crowd.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS637 	01:24:56,00 --> 01:25:01,50 	someone releases the falcon and dives in.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS47 	00:08:45,00 --> 00:08:55,50 	an officer releases someone from the cell.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS357 	01:06:17,00 --> 01:06:23,50 	someone swaps looks with someone then releases the caddy.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS535 	01:37:21,00 --> 01:37:33,50 	someone releases the clerk, who grabs a phone.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS177 	00:29:29,00 --> 00:29:35,50 	his hands curl into fists then release.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1226 	02:09:11,00 --> 02:09:17,50 	she looks at the gun, releases its trigger, then turns away.
THE_SITTER.srt 	THE_SITTER_DVS68 	00:38:36,00 --> 00:38:39,50 	releases someone's cheeks.
THE_WATCH.srt 	THE_WATCH_DVS90 	00:11:42,00 --> 00:11:46,50 	he releases him.
