500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS221 	00:38:29,00 --> 00:38:34,50 	pictures and books resting on the mantelpiece and on the floor.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS263 	00:48:27,00 --> 00:48:32,50 	then rests her head wearily against the door frame.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS103 	00:08:51,00 --> 00:08:56,50 	now, a man's cuffed hands rest folded on a table.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS493 	00:47:59,00 --> 00:48:05,50 	someone rests his hands on his knees and leans close to the americans.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS815 	01:21:01,00 --> 01:21:11,50 	the forklift comes to rest beside the thug, and he notices the grenade.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS918 	01:28:31,00 --> 01:28:38,50 	sitting up, someone rests his back against the basin's elevated rim.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS350 	01:00:50,00 --> 01:00:55,50 	he rests his elbows on his legs,
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS183 	00:24:53,00 --> 00:25:06,50 	stibble rests the pestle against the mortar's rim.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS342 	00:48:54,00 --> 00:49:00,50 	she rests her hands on his shoulders and they kiss.
BAD_TEACHER.srt 	BAD_TEACHER_DVS244 	01:06:55,00 --> 01:07:13,50 	his eyes shut, someone rests his head next to someone's.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS555 	01:26:44,00 --> 01:26:50,50 	someone rests her head on someone's shoulder and frowns uneasily.
BLINDDATING.srt 	BLINDDATING_DVS364 	01:29:18,00 --> 01:29:39,50 	someone rests one hand on his wife's shoulder and the other on someone's wrist.
BURLESQUE.srt 	BURLESQUE_DVS143 	00:19:47,00 --> 00:19:53,50 	lying on her back, she rests another book on her chest.
BURLESQUE.srt 	BURLESQUE_DVS269 	00:37:54,00 --> 00:38:01,50 	resting her chin on her fist, she gazes at a black-and-white photo stuck to her mirror.
BURLESQUE.srt 	BURLESQUE_DVS327 	00:44:56,00 --> 00:45:01,50 	he wraps his arms around her and she rests her head on his shoulder.
BURLESQUE.srt 	BURLESQUE_DVS614 	01:29:54,00 --> 01:30:00,50 	in bed, someone rests her head on someone's chest.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS114 	00:09:13,00 --> 00:09:19,50 	an old bicycle rests beside a bunch of garden tools.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS316 	00:26:27,00 --> 00:26:33,50 	other boards rest in a rack at the back of the shed.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS742 	01:13:51,00 --> 01:13:57,50 	later, his board rests on a chair outside as he comes in.
CHRONICLE.srt 	CHRONICLE_DVS363 	00:55:54,00 --> 00:56:02,50 	by day, photos of someone, small gifts, and wilting flowers rest on the new grave.
CHRONICLE.srt 	CHRONICLE_DVS439 	01:03:47,00 --> 01:03:54,50 	he bends over, resting his head on it, then lays a hand on his son's blanketed knee.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS126 	00:28:24,00 --> 00:28:34,50 	someone rests his head on her shoulder.
COLOMBIANA.srt 	COLOMBIANA_DVS102 	00:08:18,00 --> 00:08:24,50 	a knife rests on another strip beside it.
COLOMBIANA.srt 	COLOMBIANA_DVS247 	00:20:47,00 --> 00:20:54,50 	inside, someone rests her arm against a window and stares out at the passing city.
COLOMBIANA.srt 	COLOMBIANA_DVS344 	00:30:52,00 --> 00:30:56,50 	she rests her head on the desk.
COLOMBIANA.srt 	COLOMBIANA_DVS584 	00:55:02,00 --> 00:55:10,50 	someone gives a weary shrug then leans forward and rests his elbows on his legs.
COLOMBIANA.srt 	COLOMBIANA_DVS648 	01:00:46,00 --> 01:00:53,50 	staring cautiously, someone grabs a gun resting in one of men's hands.
COLOMBIANA.srt 	COLOMBIANA_DVS653 	01:01:13,00 --> 01:01:19,50 	he notices a flower resting three panels away on the pool's glass.
COLOMBIANA.srt 	COLOMBIANA_DVS682 	01:04:33,00 --> 01:04:40,50 	she spots the painting of the elderly man resting off to the side.
COLOMBIANA.srt 	COLOMBIANA_DVS715 	01:08:13,00 --> 01:08:18,50 	then turns away and rests her elbow on the table.
DEAR_JOHN.srt 	DEAR_JOHN_DVS133 	00:21:24,00 --> 00:21:30,50 	someone rests his cheek against the side of the beam.
DEAR_JOHN.srt 	DEAR_JOHN_DVS324 	00:50:18,00 --> 00:50:30,50 	a disheartened someone remains in the passenger seat, and rests his elbow on the window sill.
DEAR_JOHN.srt 	DEAR_JOHN_DVS364 	00:58:10,00 --> 00:58:22,50 	she rests her chin on his shoulder as he holds her.
DEAR_JOHN.srt 	DEAR_JOHN_DVS403 	01:01:57,00 --> 01:02:04,50 	clasping his neck, someone kisses someone, then rests her forehead against his.
DEAR_JOHN.srt 	DEAR_JOHN_DVS569 	01:21:02,00 --> 01:21:09,50 	his father limply raises one hand and rests it against someone's shoulder.
DEAR_JOHN.srt 	DEAR_JOHN_DVS746 	01:38:10,00 --> 01:38:15,50 	inside, someone rests his head against his hand.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS200 	00:47:51,00 --> 00:47:56,50 	someone's head was resting on the door and it drops,
EASY_A.srt 	EASY_A_DVS178 	00:56:36,00 --> 00:56:43,50 	as they hug, someone rests her hand near a spinning table saw.
FLIGHT.srt 	FLIGHT_DVS1247 	02:11:22,00 --> 02:11:26,50 	someone shifts, his hands resting on the table.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS256 	01:08:29,00 --> 01:08:37,50 	now he rests a hand on her heaving chest as he plants kisses along her thigh.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS494 	01:12:10,00 --> 01:12:15,50 	he rests his hand on her shoulder.
HUGO.srt 	HUGO_DVS38 	00:04:17,00 --> 00:04:25,50 	his hands rest on the counter, a few inches from the wind-up mouse.
HUGO.srt 	HUGO_DVS656 	01:34:35,00 --> 01:34:42,50 	someone floats horizontally above the stage with her elbow resting atop a thin pole.
HUGO.srt 	HUGO_DVS750 	01:49:46,00 --> 01:49:53,50 	someone sits on the bottom of the clock with his feet resting on a small ledge covered in snow.
IN_TIME.srt 	IN_TIME_DVS581 	01:01:51,00 --> 01:01:56,50 	his other hand rests on a gun at the front of his waistband.
IN_TIME.srt 	IN_TIME_DVS802 	01:25:06,00 --> 01:25:11,50 	he rests his arms on the table and leans forward.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS217 	01:04:19,00 --> 01:04:27,50 	resting on the upholstered headboard she thoughtfully scratches her arm.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS320 	01:31:18,00 --> 01:31:35,50 	someone's arm rests along the open window, someone jogs outside, and he gets out.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS376 	01:46:05,00 --> 01:46:11,50 	someone nods and rests her hand on someone's knee.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS382 	01:47:01,00 --> 01:47:11,50 	someone rests his hands on his chair back.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS402 	01:52:43,00 --> 01:53:01,50 	her fingertips drop from his shoulder and her arm rests on the back of the bench.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS116 	00:23:31,00 --> 00:23:37,50 	they both rest their cheeks against theirs fists and scratch their groins.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS295 	00:55:59,00 --> 00:56:04,50 	he soulfully rests his hand on someone's shoulder.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS453 	01:28:44,00 --> 01:28:50,50 	she rests her chin on her hand and re-reads the passage.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS540 	01:47:14,00 --> 01:47:20,50 	someone takes a seat beside her on the couch, and rests a hand on her thigh.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS272 	01:29:52,00 --> 01:29:59,50 	someone kneels, resting the coconut at someone's waist on her cleavage.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS304 	01:38:21,00 --> 01:38:28,50 	later, someone lies sound asleep, resting her head on someone's shoulder.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS307 	01:38:37,00 --> 01:38:44,50 	the brown-haired girl takes her mother's hand and rests her head on someone's pillow.
KARATE_KID.srt 	KARATE_KID_DVS429 	00:38:57,00 --> 00:39:04,50 	mrs. po kindly rests a hand on someone's back and ushers him toward the group.
KARATE_KID.srt 	KARATE_KID_DVS944 	01:17:21,00 --> 01:17:27,50 	one section of the stairs rests on a fin of rock
KARATE_KID.srt 	KARATE_KID_DVS1028 	01:23:32,00 --> 01:23:38,50 	the man stares at the boy, then slowly rests a hand on his back.
KARATE_KID.srt 	KARATE_KID_DVS1317 	01:46:34,00 --> 01:46:41,50 	now on the rooftop, someone's feet rest on either side of the corner railing.
KARATE_KID.srt 	KARATE_KID_DVS1340 	01:48:23,00 --> 01:48:29,50 	and rests his cheek on the top of someone's head.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS45 	00:15:43,00 --> 00:15:59,50 	two large wooden oars rest at an angle on the sand.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS59 	00:19:14,00 --> 00:19:20,50 	the primate imitates her by resting a hand on someone's breast.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS26 	00:07:57,00 --> 00:08:16,50 	someone flips his cellphone shut and rests this chin in his hand.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS327 	01:15:45,00 --> 01:16:00,50 	outside lamar sits on someone's sofa, which rests on the front lawn among his other belongings.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS617 	01:07:16,00 --> 01:07:21,50 	with the raft resting on the canvas cover,
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS786 	01:20:24,00 --> 01:20:31,50 	his dry, cracked lips rest slightly open.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS937 	01:33:10,00 --> 01:33:16,50 	he rests the tigers head on his lap and softly rubs its crown.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS951 	01:34:25,00 --> 01:34:31,50 	the lifeboat rests on a green and overgrown shore.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS988 	01:37:16,00 --> 01:37:22,50 	now he rests against the root wall and splashes water on his face.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1016 	01:39:22,00 --> 01:39:29,50 	a meerkat climbs onto someone's back and rests across his shoulder.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS33 	00:09:21,00 --> 00:09:26,50 	someone rests an arm on the tractor hood.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS286 	01:03:32,00 --> 01:03:38,50 	a lion statue rests at the base
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS324 	01:11:37,00 --> 01:11:50,50 	as he trudges out of the room, someone rests a hand on someone's shoulder.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS419 	01:39:53,00 --> 01:40:00,50 	someone bends over, resting his hands on his knees.
PROMETHEUS.srt 	PROMETHEUS_DVS631 	01:08:45,00 --> 01:08:56,50 	within the chamber, we drift up to find two more giant pods resting opposite their counterparts atop a hundred foot disc marked with a spiderweb-like pattern.
PROMETHEUS.srt 	PROMETHEUS_DVS705 	01:14:48,00 --> 01:14:57,50 	he rests motionlessly with his eyes closed and a breathing mask covering his nose and mouth.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS302 	00:56:49,00 --> 00:56:56,50 	a chubby lawyer puts an arm around someone who rests an elbow on the man's shoulder.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS357 	01:07:56,00 --> 01:08:19,50 	someone removes the receiver from her ear and clutches it against the base of her neck, resting her chin on her knuckles.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS442 	01:25:00,00 --> 01:25:08,50 	inside someone's room, a framed religious icon hangs on the wall over his bed as he rests.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS282 	01:07:07,00 --> 01:07:41,50 	resting his head on his hand, he looks to the curtain.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS378 	01:33:22,00 --> 01:33:29,50 	he holds someone's hand and rests his brow upon it.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS405 	01:04:01,00 --> 01:04:07,50 	he halts, raises his hands, and rests them in his lap.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS415 	01:04:41,00 --> 01:04:49,50 	as someone lets go of his spoon, someone grabs hold of his hand and rests her cheek against it.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS633 	01:31:20,00 --> 01:31:28,50 	someone crouches over the manuscript, letting the backs of his fingers rest on the top page.
SALT.srt 	SALT_DVS181 	00:31:26,00 --> 00:31:33,50 	later, he shows her a bulbous black spider resting in a glass-encased web.
SALT.srt 	SALT_DVS245 	00:42:05,00 --> 00:42:26,50 	beaming tearfully, someone rests her head against her folded hands.
SANCTUM.srt 	SANCTUM_DVS382 	01:15:30,00 --> 01:15:36,50 	he sits on a ledge below josh's, resting his hands on his knee.
SANCTUM.srt 	SANCTUM_DVS397 	01:17:40,00 --> 01:17:54,50 	at the water's edge, someone bends at the waist, resting his hands on his legs.
SANCTUM.srt 	SANCTUM_DVS429 	01:22:14,00 --> 01:22:19,50 	someone rests his back on the rock.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS183 	00:13:22,00 --> 00:13:27,50 	she faces someone, her bare feet resting on a stool.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS288 	00:19:30,00 --> 00:19:35,50 	her gaze drifts to someone's hand which rests over.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS291 	00:19:43,00 --> 00:19:49,50 	then rests her cheek against them and closes her eyes.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS315 	00:21:31,00 --> 00:21:37,50 	now, at her apartment, a pile of pages from someone's manuscript rests on a couch.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS369 	00:24:41,00 --> 00:24:46,50 	she rests her hand on the bride's.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS383 	00:25:27,00 --> 00:25:32,50 	a mountain of fruit rests on top, and a second veil of dangling beads offers a semi-obscured view of her nervous face.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS421 	00:28:13,00 --> 00:28:19,50 	he rests the cup just below his lips as he swallows, then turns to someone with a furrowed brow and finds her gazing at him.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS462 	00:30:23,00 --> 00:30:28,50 	a baby rests beside her in a bassinet.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS684 	00:44:43,00 --> 00:44:48,50 	resting her chin on his shoulder,
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS691 	00:45:18,00 --> 00:45:24,50 	the bereaved daughter rests her head on someone's shoulder.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS780 	00:52:22,00 --> 00:52:27,50 	she rests her hand on the sill and peers outside.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS855 	00:56:45,00 --> 00:56:52,50 	in the present day, someone's feet slip off a pair of black high-heeled shoes and rest on a white carpet.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS908 	00:59:16,00 --> 00:59:22,50 	they rest the old woman on a mound of filled sacks.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS991 	01:04:42,00 --> 01:04:47,50 	which rests on her own outstretched arm.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1025 	01:06:55,00 --> 01:07:00,50 	his hands rest on his knees as he slouches,
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1027 	01:07:01,00 --> 01:07:07,50 	someone reaches an arm across her legs and rests his hand on the other side.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1188 	01:20:22,00 --> 01:20:28,50 	clutching the fan in one hand, she raises it to her waist and rests it on her other palm.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1192 	01:20:36,00 --> 01:20:43,50 	she sinks down, turning her back to us as she rests her head against her hand.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1403 	01:35:25,00 --> 01:35:32,50 	she extends her trembling fingers and rests them upon her laotong's cheek.
