21_JUMP_STREET.srt 	21_JUMP_STREET_DVS638 	01:36:05,00 --> 01:36:14,50 	someone resumes the gunfight.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS197 	01:37:46,00 --> 01:37:52,50 	as they resume kissing, someone approaches the bar.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS190 	00:25:42,00 --> 00:26:00,50 	someone resumes his struggle to free himself as stibble sharpens the blade against the porcelain bowl's ornate rim.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS236 	00:38:41,00 --> 00:38:48,50 	the rotund man strikes a series of poses before resuming his work on the panel.
BURLESQUE.srt 	BURLESQUE_DVS120 	00:16:43,00 --> 00:16:49,50 	someone mimics a dance step, then resumes her work.
BURLESQUE.srt 	BURLESQUE_DVS233 	00:34:02,00 --> 00:34:08,50 	then twice more before resuming the wild dance.
BURLESQUE.srt 	BURLESQUE_DVS256 	00:36:35,00 --> 00:36:42,50 	then someone spins on the street and resumes her walk.
BURLESQUE.srt 	BURLESQUE_DVS389 	00:54:07,00 --> 00:54:12,50 	as the curtain rises, someone resumes his work.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS200 	00:36:25,00 --> 00:36:31,50 	stark glances at someone and resumes turning the wheel.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS848 	01:23:34,00 --> 01:23:40,50 	someone strides back to the stove and resumes cooking.
CHRONICLE.srt 	CHRONICLE_DVS373 	00:56:58,00 --> 00:57:03,50 	the camera resumes in a bathroom.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS562 	02:12:02,00 --> 02:12:08,50 	someone reels then resumes his stance.
COLOMBIANA.srt 	COLOMBIANA_DVS556 	00:50:57,00 --> 00:51:05,50 	someone peels off his jacket then removes her own as she resumes their embrace.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS249 	00:39:38,00 --> 00:40:01,50 	he resumes climbing while a mass of guards unleashes a barrage of bullets.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS292 	00:44:53,00 --> 00:44:58,50 	he flashes a grin at them then resumes drinking.
IN_TIME.srt 	IN_TIME_DVS27 	00:03:29,00 --> 00:03:36,50 	someone's halts at 1 day and 14 minutes, then resumes its normal countdown.
IN_TIME.srt 	IN_TIME_DVS745 	01:18:49,00 --> 01:19:03,50 	a few buildings behind them, someone climbs up and resumes his sprint.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS26 	00:07:30,00 --> 00:07:40,50 	she averts her dejected gaze, then shakes her head dismissively, wipes the tears from her eyes, and resumes clearing the plates.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS63 	00:10:59,00 --> 00:11:03,50 	someone resumes eating.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS177 	00:33:18,00 --> 00:33:22,50 	she resumes practicing.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS433 	01:25:52,00 --> 01:25:59,50 	someone resumes eating.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS455 	01:28:49,00 --> 01:28:57,50 	she highlights the last sentence, deletes it, and determinedly resumes typing.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS213 	01:14:29,00 --> 01:14:34,50 	he resumes his call.
KARATE_KID.srt 	KARATE_KID_DVS139 	00:12:13,00 --> 00:12:24,50 	he discards the bug, wipes the utensils off on his thigh, and resumes eating his noodles with them.
KARATE_KID.srt 	KARATE_KID_DVS337 	00:30:42,00 --> 00:30:48,50 	as someone scrambles away, someone resumes practicing.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS85 	00:08:24,00 --> 00:08:29,50 	someone puts the chalk down and resumes his seat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS86 	00:08:44,00 --> 00:08:49,50 	someone leaves another chalkboard and resumes his seat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS426 	00:49:14,00 --> 00:49:28,50 	the hyena briefly leans over the edge the resumes its wild laps as someone stands ready with the oar.
