21_JUMP_STREET.srt 	21_JUMP_STREET_DVS308 	00:52:23,00 --> 00:52:31,50 	someone turns, revealing an ornate south-western knife handle sticking out of his back.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS341 	00:56:42,00 --> 00:56:49,50 	they move off together revealing a left behind someone.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS346 	00:57:27,00 --> 00:57:47,50 	too revealing?"
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS553 	01:25:30,00 --> 01:25:41,50 	the teenager opens the doors of a suit to reveal coach someone who sits with a few piatas, watching tv and eating cool ranch doritos.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS558 	01:26:23,00 --> 01:26:32,50 	he opens the door to reveal the one-percenter's leader the bearded biker and the swarthy hispanic biker.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS654 	01:38:33,00 --> 01:38:41,50 	shoulder bleeding, someone reveals the other shot mashed into his bullet proof vest.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS709 	01:44:35,00 --> 01:44:41,50 	the front of a sweatshirt unzips revealing glittering skin underneath.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS112 	00:28:03,00 --> 00:28:08,50 	someone unzips his jacket to reveal the vest.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS190 	00:49:41,00 --> 00:49:45,50 	he reveals his vest.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS239 	00:57:24,00 --> 00:57:28,50 	he reveals his vest.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS273 	01:04:33,00 --> 01:04:39,50 	the door swings open to reveal someone and someone in their ape masks.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS314 	01:10:53,00 --> 01:11:00,50 	now our view rises from a heap of crushed cars to reveal the mustang arriving in the scrapyard.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS72 	00:39:10,00 --> 00:39:17,50 	in a window, the salesgirl bends over revealing her thong.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS160 	01:21:24,00 --> 01:21:30,50 	now, outside her house, she she removes her hands on his eyes to reveal a new mountain bike.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS202 	00:33:27,00 --> 00:33:41,50 	day 35 rolls forward to day 303, and the lift door opens revealing a despondent, disheveled someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS77 	00:05:09,00 --> 00:05:15,50 	the target glides forward to reveal someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS441 	00:42:35,00 --> 00:42:41,50 	our view sharpens to reveal someone's brunette companion.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS642 	01:06:29,00 --> 01:06:36,50 	another man opens the door completely to reveal a seemingly empty shelf.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS662 	01:07:51,00 --> 01:08:05,50 	they shine flashlights into the large hidden chamber, revealing dozens of aluminum cases stacked throughout.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS685 	01:10:20,00 --> 01:10:27,50 	someone opens an armored case, revealing two rows of metallic objects.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS96 	00:25:11,00 --> 00:25:22,50 	lying on the ground someone pulls down his waistband, revealing a dark bruise.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS30 	00:03:35,00 --> 00:03:42,50 	he grabs the cane revealing its handle as a secret pistol aimed at his chest.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS184 	00:25:04,00 --> 00:25:17,50 	the dust clears revealing stibble's distorted, monstrous features.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS261 	00:38:13,00 --> 00:38:20,50 	the carriage rides off revealing someone.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS289 	00:42:08,00 --> 00:42:27,50 	someone grabs the shaft, extends it to reveal a hidden trigger, then shoots someone through his good eye.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS310 	00:45:02,00 --> 00:45:30,50 	the vampire takes off his sunglasses revealing his puffy eyes.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS355 	00:50:47,00 --> 00:50:52,50 	someone opens the casket revealing someone inside.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS477 	01:07:24,00 --> 01:07:31,50 	someone picks it up and opens it revealing someone's personalized inscription.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS608 	01:24:36,00 --> 01:25:32,50 	the vampire falls aside revealing someone standing halfway through a hatch, his modified ax in hand.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS609 	01:25:30,00 --> 01:25:49,50 	the steam dissipates to reveal someone clutching the ax handle.
BAD_TEACHER.srt 	BAD_TEACHER_DVS232 	01:04:08,00 --> 01:04:16,50 	someone crouches at the desk, hesitates and slides the drawer out revealing the someone wig.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS98 	00:14:21,00 --> 00:14:27,50 	someone rips open someone's shirt, revealing his mic.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS145 	00:22:32,00 --> 00:22:37,50 	she reveals a bald patch.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS467 	01:13:01,00 --> 01:13:08,50 	he lifts his rear, revealing two green dots under his widespread crotch.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS653 	01:39:56,00 --> 01:40:03,50 	someone convulses, then drops to the floor, revealing someone behind him.
BLINDDATING.srt 	BLINDDATING_DVS11 	00:03:51,00 --> 00:03:58,50 	she drops her skirt by her feet revealing someone thigh highs.
BLINDDATING.srt 	BLINDDATING_DVS303 	01:14:42,00 --> 01:15:00,50 	more flashes reveal dr.
BLINDDATING.srt 	BLINDDATING_DVS339 	01:21:22,00 --> 01:21:40,50 	someone opens the box revealing a large diamond ring.
BRUNO.srt 	BRUNO_DVS52 	00:10:13,00 --> 00:10:31,50 	turning his back on someone, he crouches, revealing a red thong.
BRUNO.srt 	BRUNO_DVS104 	00:23:11,00 --> 00:23:16,50 	someone removes his jacket, revealing a tight shirt with cut-off sleeves.
BRUNO.srt 	BRUNO_DVS109 	00:23:43,00 --> 00:24:01,50 	he lets his pants fall, revealing his purple spandex briefs.
BRUNO.srt 	BRUNO_DVS252 	01:07:57,00 --> 01:08:02,50 	strips them off, revealing smaller briefs underneath.
BRUNO.srt 	BRUNO_DVS261 	01:15:00,00 --> 01:15:07,50 	someone lifts it over his head, revealing someone's masculine features.
BURLESQUE.srt 	BURLESQUE_DVS393 	00:54:24,00 --> 00:54:36,50 	she dances up the rest of the stairs to the platform where another curtain opens, revealing more dancers.
BURLESQUE.srt 	BURLESQUE_DVS428 	00:58:56,00 --> 00:59:04,50 	now feather fans lift away to reveal someone reclined on the lounge piano, in a skimpy two-piece outfit made of pearls.
BURLESQUE.srt 	BURLESQUE_DVS446 	01:01:08,00 --> 01:01:13,50 	they part the fans, revealing her naked form.
BURLESQUE.srt 	BURLESQUE_DVS535 	01:14:13,00 --> 01:14:20,50 	coat, revealing a black sparkling top with a matching cardigan and pants.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS171 	00:31:27,00 --> 00:31:32,50 	revealing a tiled hallway.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS203 	00:37:01,00 --> 00:37:09,50 	the pod slides open and reveals someone, now several inches taller and extremely muscular.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS298 	00:57:02,00 --> 00:57:19,50 	wide-eyed, someone stares down as explosions light the night sky, revealing an open parachute.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS365 	01:06:38,00 --> 01:06:44,50 	someone stares open-mouthed as someone peels off his face, actually a mask, and reveals his true face, a ghoulish red skull.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS371 	01:07:17,00 --> 01:07:24,50 	the elevator opens revealing a single-person aircraft.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS656 	01:49:52,00 --> 01:49:58,50 	she opens the folder, revealing a half-hidden photo.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS666 	01:52:18,00 --> 01:52:28,50 	a moment later, their bodies fly through a false wall revealing the hospital room to be inside a warehouse.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS853 	01:23:58,00 --> 01:24:04,50 	tearing off the wrapping paper, someone reveals a weather radio.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1068 	01:42:13,00 --> 01:42:20,50 	an aerial of the bone yard reveals nothing but roiling white foam.
COLOMBIANA.srt 	COLOMBIANA_DVS381 	00:34:21,00 --> 00:34:27,50 	she slips in and opens a cabinet revealing circuit breakers.
COLOMBIANA.srt 	COLOMBIANA_DVS466 	00:40:54,00 --> 00:41:00,50 	agent someone opens it, revealing someone's chest.
COLOMBIANA.srt 	COLOMBIANA_DVS520 	00:47:05,00 --> 00:47:09,50 	revealing a loose fitting tank top.
COLOMBIANA.srt 	COLOMBIANA_DVS558 	00:51:17,00 --> 00:51:25,50 	grinning, she pulls her dress off over her head to reveal her black bra and matching panties.
COLOMBIANA.srt 	COLOMBIANA_DVS977 	01:33:54,00 --> 01:34:00,50 	a panel behind the statue pushes inward to reveal a hidden compartment.
DEAR_JOHN.srt 	DEAR_JOHN_DVS196 	00:30:58,00 --> 00:31:04,50 	now an oven door opens, revealing two pans of lasagna.
DEAR_JOHN.srt 	DEAR_JOHN_DVS264 	00:41:42,00 --> 00:41:48,50 	flipping the nickel over, he reveals the back of a penny.
DEAR_JOHN.srt 	DEAR_JOHN_DVS499 	01:12:49,00 --> 01:12:57,50 	eyeing his reflection in a mirror, he unsnaps the top of his hospital gown, to reveal his bandaged shoulder.
DEAR_JOHN.srt 	DEAR_JOHN_DVS756 	01:39:13,00 --> 01:39:19,50 	outside, someone opens his trunk to reveal the collection.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS42 	00:03:21,00 --> 00:03:30,50 	all the separate but identical mouse couples are revealed in their places on the diorama.
DISTRICT_9.srt 	DISTRICT_9_DVS200 	00:22:46,00 --> 00:22:50,50 	that someone reveal the alien lab.
DISTRICT_9.srt 	DISTRICT_9_DVS787 	01:32:59,00 --> 01:33:04,50 	revealing new space.
DISTRICT_9.srt 	DISTRICT_9_DVS867 	01:44:10,00 --> 01:44:19,50 	now, someone gingerly unwraps a bundle of pink tissue, revealing a delicate metal sculpture of a flower.
EASY_A.srt 	EASY_A_DVS274 	01:23:04,00 --> 01:23:11,50 	she rips off someone's woodchuck costume, revealing his blue devil costume.
FLIGHT.srt 	FLIGHT_DVS234 	00:49:52,00 --> 00:49:58,50 	revealing a two seat cessna plane in the small hangar.
FLIGHT.srt 	FLIGHT_DVS905 	01:47:23,00 --> 01:47:30,50 	he opens the door to reveal rows of miniature bottles of alcohol on the shelves.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS223 	00:59:53,00 --> 01:00:01,50 	they enter a friendly stylish home where open double doors reveal a beachfront patio.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS175 	01:35:40,00 --> 01:35:48,50 	blue lights come on revealing
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS138 	00:22:02,00 --> 00:22:08,50 	the man turns, revealing a long pale face with aging features.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS353 	00:52:32,00 --> 00:52:42,50 	the one in front removes his hood revealing tattooed writing covering his face and bald scalp.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS540 	01:16:52,00 --> 01:17:13,50 	the acolytes somberly part to reveal someone walking toward someone and the weakened someone.
GREEN_ZONE.srt 	GREEN_ZONE_DVS266 	01:02:30,00 --> 01:02:37,50 	it swings open revealing a stunned someone on her cellphone.
GROWN_UPS.srt 	GROWN_UPS_DVS269 	01:17:30,00 --> 01:17:34,50 	he lowers the ice, revealing a cut.
