21_JUMP_STREET.srt 	21_JUMP_STREET_DVS161 	00:27:44,00 --> 00:27:48,50 	he sends a text to the number.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS338 	00:56:24,00 --> 00:56:29,50 	someone sends him off with a paper bag.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS346 	00:57:27,00 --> 00:57:47,50 	someone sends someone a message featuring a woman in a slutty peter pan costume.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS336 	01:15:15,00 --> 01:15:21,50 	it explodes sending someone flying off his feet.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS248 	00:20:50,00 --> 00:20:55,50 	the armored truck sends a parked car flying.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS265 	00:23:00,00 --> 00:23:08,50 	as the truck follows, it clips the sedan and sends it soaring off the ramp onto the street below.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS524 	00:50:50,00 --> 00:50:58,50 	the shattered panes send giant glass fragments raining down on the russians, who cower amid the dust and someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS905 	01:27:16,00 --> 01:27:28,50 	the chopper's nose drags along the building, sending a barrage of someone into the air.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS27 	00:02:41,00 --> 00:02:49,50 	someone the enforcer down and punches him in the face sending him crashing into the water.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS217 	00:30:15,00 --> 00:30:40,50 	the hunter stomps on a bellows and the blazing flame sends the vampire reeling back.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS282 	00:40:28,00 --> 00:40:52,50 	the stallion knocks someone off someone sending him tumbling across the dirt.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS392 	00:55:15,00 --> 00:55:23,50 	in slow motion, he wrenches the weapon out sending a splash of blood through the air.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS596 	01:22:12,00 --> 01:22:46,50 	the kickback sends someone to the floor beside the dead vampire.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS609 	01:25:30,00 --> 01:25:49,50 	he kicks someone, sending the president back.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS616 	01:26:49,00 --> 01:26:55,50 	with a match, she lights a rope sending flames up a beam.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS632 	01:28:54,00 --> 01:29:18,50 	left behind, the railcar teeters over a ledge sending someone and someone sliding down its roof.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS34 	00:02:52,00 --> 00:03:02,50 	someone tackles him to the ground, sending envelopes flying into the air.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS118 	00:16:16,00 --> 00:16:26,50 	bullets hit the hood, sending sparks flying.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS616 	01:35:54,00 --> 01:35:58,50 	he sends a text on his phone.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS418 	01:16:03,00 --> 01:16:08,50 	an explosion inside the chamber blows out the glass and sends stark and the engineer flying backward across the room.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS262 	00:20:19,00 --> 00:20:25,50 	their powerful crashes send up massive bursts of white foam.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS690 	01:07:18,00 --> 01:07:24,50 	now, pitch-black waves send up snow-white foam as they break.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS915 	01:29:42,00 --> 01:29:50,50 	it curls into a barrel as it breaks and sends up massive blasts of foam and spray.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS955 	01:33:50,00 --> 01:33:58,50 	a breaking wave sends up a giant blast of foam and spray.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1042 	01:40:31,00 --> 01:40:36,50 	it sends clouds of foam high into the air.
CHRONICLE.srt 	CHRONICLE_DVS410 	01:01:17,00 --> 01:01:27,50 	as the others run, someone gestures sending one of them smashing into a car's rear window, and another cartwheeling down to the pavement.
CHRONICLE.srt 	CHRONICLE_DVS411 	01:01:25,00 --> 01:01:33,50 	the teen sends him flying back into the camera.
CHRONICLE.srt 	CHRONICLE_DVS509 	01:12:55,00 --> 01:13:05,50 	someone waves his arms forward, sending the two cruisers flying back.
CHRONICLE.srt 	CHRONICLE_DVS520 	01:14:10,00 --> 01:14:16,50 	lunging forward, he sends a giant wave of energy toward them.
CHRONICLE.srt 	CHRONICLE_DVS527 	01:14:49,00 --> 01:14:56,50 	with a quick wave of his hand, someone sends the spear straight through someone's back.
COLOMBIANA.srt 	COLOMBIANA_DVS114 	00:09:17,00 --> 00:09:25,50 	bullets hit his chest sending bursts of blood from his back as they tear through him.
COLOMBIANA.srt 	COLOMBIANA_DVS264 	00:22:00,00 --> 00:22:05,50 	another punch sends thick streams of his blood flying.
COLOMBIANA.srt 	COLOMBIANA_DVS662 	01:02:10,00 --> 01:02:16,50 	a shot to his other leg sends him down on all fours.
COLOMBIANA.srt 	COLOMBIANA_DVS1049 	01:38:40,00 --> 01:38:48,50 	she lands a punch, sending someone crumpling to the floor where he grabs the abandoned gun.
DEAR_JOHN.srt 	DEAR_JOHN_DVS26 	00:02:56,00 --> 00:03:02,50 	a boyish guy sits on the railings, sending her purse plunging into the water.
DEAR_JOHN.srt 	DEAR_JOHN_DVS296 	00:45:55,00 --> 00:46:24,50 	as someone remains frozen, our view is sent to take in a bird's eye view of the chaos.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS311 	01:22:23,00 --> 01:22:29,50 	someone sends a cell call from someone to her voicemail.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS368 	01:37:14,00 --> 01:37:19,50 	someone sends a text message.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS113 	00:18:36,00 --> 00:18:49,50 	the shots send the rider flying.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS259 	00:41:02,00 --> 00:41:13,50 	it crushes the supplier in a burst of flames which sends someone flying back.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS532 	01:15:42,00 --> 01:15:55,50 	with a swipe of his hand, he sends someone flying off the stage.
HUGO.srt 	HUGO_DVS639 	01:32:24,00 --> 01:32:30,50 	another alien leaps onto it sending the capsule over a cliff.
IN_TIME.srt 	IN_TIME_DVS897 	01:35:10,00 --> 01:35:17,50 	a barrage of bullets hits the limo, sending sparks off the vehicle's armored body.
IRON_MAN_2.srt 	IRON_MAN_2_DVS89 	00:17:32,00 --> 00:17:40,50 	he activates the arc reactor, which sends an electrical charge along the frame of the arm and into the whip.
IRON_MAN_2.srt 	IRON_MAN_2_DVS596 	01:42:43,00 --> 01:43:17,50 	someone punches the guard's face, sending him sailing backward onto the floor.
KARATE_KID.srt 	KARATE_KID_DVS208 	00:17:49,00 --> 00:18:02,50 	with a crouching-leg sweep, the boy sends him sprawling.
KARATE_KID.srt 	KARATE_KID_DVS266 	00:24:21,00 --> 00:24:26,50 	mrs. po sends someone in the opposite direction.
KARATE_KID.srt 	KARATE_KID_DVS352 	00:31:35,00 --> 00:31:45,50 	with a kick, he sends someone's bag flying high.
KARATE_KID.srt 	KARATE_KID_DVS505 	00:45:15,00 --> 00:45:37,50 	he sends two slamming into each other, chest to chest, then bonks another flat with his own chest.
KARATE_KID.srt 	KARATE_KID_DVS1413 	01:54:05,00 --> 01:54:13,50 	with a single powerful kick, he knocks the boy off his feet, and sends him crashing to the mat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS294 	00:38:20,00 --> 00:38:29,50 	the ship plunges into a wave sending water crashing over him.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS371 	00:44:26,00 --> 00:44:32,50 	a wave sends a blast of spray into his face.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS535 	00:58:14,00 --> 00:58:23,50 	a birds-eye view shows the can about ten yards from someone's raft sending out gentle ripples over the current-less sea.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS95 	00:14:06,00 --> 00:14:14,50 	someone walks into the crate, breaking it apart and sending an envelope sliding under a dresser.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS222 	00:37:28,00 --> 00:37:33,50 	someone frowns and sends a text message to someone.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS236 	00:55:46,00 --> 00:55:54,50 	someone crawls along a row sending patrons to their feet.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS420 	01:40:06,00 --> 01:40:13,50 	catching the someone around the throat it sends him flying out into a river.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS421 	01:40:17,00 --> 01:40:24,50 	catching the someone around the throat it sends him flying out into a river.
PROMETHEUS.srt 	PROMETHEUS_DVS55 	00:02:56,00 --> 00:03:03,50 	the plunging water sends up pale mist that swirls around the ship.
PROMETHEUS.srt 	PROMETHEUS_DVS321 	00:31:17,00 --> 00:31:22,50 	he sends two more off the other way.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS456 	01:36:44,00 --> 01:36:50,50 	knocks him off his feet and sends him tumbling.
SOUL_SURFER.srt 	SOUL_SURFER_DVS318 	01:34:56,00 --> 01:35:03,50 	his little sister sends up a spring.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS523 	01:16:56,00 --> 01:17:03,50 	the cousins hug and someone sends someone off with an affectionate rub of the head.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS68 	00:05:29,00 --> 00:05:35,50 	a staffer arrives, but the woman sends him away with a gesture.
THE_WATCH.srt 	THE_WATCH_DVS275 	00:50:53,00 --> 00:51:01,50 	it backhands him, sending him flying against a shed.
THE_WATCH.srt 	THE_WATCH_DVS299 	00:53:44,00 --> 00:53:53,50 	it throws someone into a jukebox and sends someone flying.
THE_WATCH.srt 	THE_WATCH_DVS315 	00:55:06,00 --> 00:55:13,50 	it throws the men off him, sending them crashing across the room.
THE_WATCH.srt 	THE_WATCH_DVS531 	01:32:24,00 --> 01:32:31,50 	a fiery blast rips through the walls, sending a shopping cart across the lot.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS432 	01:17:37,00 --> 01:17:49,50 	someone sends someone rolling over a table then throws a knife into a leather chair by someone's head.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS458 	01:21:24,00 --> 01:21:38,50 	he leaps aboard the convertible and punches a thug in back, sending him tumbling.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS483 	01:24:48,00 --> 01:24:56,50 	the blast sends the suv rolling sideways toward the road's unfinished end.
THOR.srt 	THOR_DVS145 	00:21:21,00 --> 00:21:28,50 	someone smiles as he spins and smashes the giant with someone, sending the giant flying backward.
THOR.srt 	THOR_DVS153 	00:22:04,00 --> 00:22:10,50 	the giant punches someone and sends him sailing backward.
THOR.srt 	THOR_DVS175 	00:23:43,00 --> 00:23:50,50 	he flicks his hand, sending out a bolt of blue energy which races through the rocky terrain.
THOR.srt 	THOR_DVS373 	00:56:17,00 --> 00:56:24,50 	meanwhile, someone kicks an agent in the face sending him toppling down a ladder into his teammates.
THOR.srt 	THOR_DVS494 	01:21:08,00 --> 01:21:15,50 	the bottom of the funnel cloud touches down, sending out a circular shockwave across the desert.
THOR.srt 	THOR_DVS521 	01:23:37,00 --> 01:23:47,50 	as someone's friends attempt to rush to her aid, the destroyer unleashes another blast and sends everyone flying.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS538 	01:12:16,00 --> 01:12:22,50 	sending her into a twirl, he lets go of one hand and catches her by the other.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS367 	00:58:43,00 --> 00:58:48,50 	a swat from buster sends the gun flying.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS350 	00:51:46,00 --> 00:51:54,50 	someone takes a picture of himself in the bath, holding up the ipod, with a goofy grin, and sends it to someone.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS157 	00:10:04,00 --> 00:10:11,50 	with a flick of his hand, he sends the coin flying as fast as an arrow.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS328 	00:24:48,00 --> 00:24:57,50 	someone sends the knife flying into the bartenders chest, summons it back into his grip, and pins the farmer's hand to the table.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS814 	01:13:30,00 --> 01:13:36,50 	comrade first secretary, we must send in our fleet.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1186 	01:45:51,00 --> 01:45:59,50 	someone flies up from the water and sends angel tumbling off course with a sonic scream.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1208 	01:47:49,00 --> 01:47:56,50 	he touches someone's forehead, sending the mutant crashing into a mirror.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1217 	01:48:37,00 --> 01:48:44,50 	someone rises from the floor and sends metal beams crashing through the chamber between them.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1288 	01:56:09,00 --> 01:56:16,50 	someone elbows him and sends the other mutants flying across the beach.
ZOMBIELAND.srt 	ZOMBIELAND_DVS78 	00:06:26,00 --> 00:06:33,50 	he crashes into a planter sending the zombie flying out the windshield and into a building.
ZOMBIELAND.srt 	ZOMBIELAND_DVS661 	01:14:07,00 --> 01:14:14,50 	someone fires at the closest zombie and sends her sprawling backwards.
