21_JUMP_STREET.srt 	21_JUMP_STREET_DVS136 	00:22:22,00 --> 00:22:29,50 	as someone drives at him, someone slams up on the hood, then slides to the pavement.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS399 	01:08:03,00 --> 01:08:14,50 	someone slides over the camaros hood then gets in with his partner.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS626 	01:34:38,00 --> 01:34:43,50 	someone slides across a white limo's hood.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS137 	00:37:46,00 --> 00:37:54,50 	someone hands him the shopping bag, then slides the window up and knocks over a few plastic bottles.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS178 	00:46:38,00 --> 00:46:44,50 	the guard slides his gun directly over to a mom.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS179 	00:46:49,00 --> 00:46:56,50 	it slides into a counter and discharges into a fat man's leg.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS201 	00:50:55,00 --> 00:51:01,50 	as the car slides into a turn, he loses control and spins out completely.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS232 	00:55:24,00 --> 00:55:28,50 	he slides it to someone.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS321 	01:11:48,00 --> 01:11:54,50 	someone slowly unzips the vest from top to bottom then slides it off.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS327 	00:28:58,00 --> 00:29:08,50 	on its side, someone's suv slides to a stop.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS423 	00:41:12,00 --> 00:41:18,50 	as the door slides shut, someone digs in his bag and retrieves a shotgun with cartridges stored along the barrel.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS548 	00:53:13,00 --> 00:53:20,50 	as they slide down, the helicopter gets into position and fires at it.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS659 	01:07:37,00 --> 01:07:45,50 	then slides the hands of its curved outer shell together in a perfect match.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS718 	01:12:41,00 --> 01:12:50,50 	in the vault, one of someone's men slides a uranium cylinder back into the case and secures the latch.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS64 	00:18:21,00 --> 00:18:27,50 	stopping, he peers into the backyard then slides open a patio door.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS71 	00:19:35,00 --> 00:19:42,50 	someone slides his hands up the trunk, then steps back and gazes up at the tall tree.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS301 	00:55:33,00 --> 00:55:39,50 	someone slides the breadstick up samantha's nose.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS212 	00:29:42,00 --> 00:29:48,50 	he notices a door sliding open and throws another handful.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS239 	00:33:43,00 --> 00:33:50,50 	she slides the paper closer and he turns.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS562 	01:18:45,00 --> 01:18:56,50 	someone slides his pocket watch over a trajectory marked on a map.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS581 	01:20:37,00 --> 01:20:43,50 	stepping into the car behind it, someone slides its door shut.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS590 	01:21:37,00 --> 01:21:44,50 	he moves to a shuttered hatch and slides it open, aiming into the darkness.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS591 	01:21:44,00 --> 01:21:53,50 	someone slides it shut then turns to face another shuttered hatch.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS597 	01:22:43,00 --> 01:22:52,50 	as he slides it shut, countless more vampires leap onto the roof.
