21_JUMP_STREET.srt 	21_JUMP_STREET_DVS307 	00:52:16,00 --> 00:52:23,50 	someone beckons them over, takes the pilfered phone and slips it back in someone's pocket.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS277 	01:05:01,00 --> 01:05:05,50 	he slips out of bed.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS255 	00:48:24,00 --> 00:48:31,50 	later someone slips the card key into his coat pocket as he sneaks into a hotel suite.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS190 	00:25:42,00 --> 00:26:00,50 	crouching low, the vampire slips the bowl beneath the hunter.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS191 	00:26:05,00 --> 00:26:13,50 	someone's dagger slips from his belt.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS201 	00:27:27,00 --> 00:27:31,50 	someone slips away.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS458 	01:05:30,00 --> 01:05:38,50 	someone slips into a bedroom where someone wears a union uniform as he plays with toy soldiers.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS555 	01:17:49,00 --> 01:17:54,50 	it slips from his grasp.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS640 	01:30:19,00 --> 01:31:04,50 	just before it slips off the edge, the locomotive starts to climb the angled track.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS115 	00:15:58,00 --> 00:16:05,50 	the mobster slips away.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS201 	00:33:15,00 --> 00:33:22,50 	he slips and falls on his back, splintering the lunch table in two.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS225 	00:37:18,00 --> 00:37:25,50 	someone listens through the door as he slips backward and lands in the bath tub.
BLINDDATING.srt 	BLINDDATING_DVS195 	00:49:23,00 --> 00:49:41,50 	as someone sips wine, his date slips her foot out of her shoe and slides her toes up his leg.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS20 	00:02:48,00 --> 00:02:55,50 	one man slips and staggers momentarily as he steps down a small ledge.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS234 	00:40:42,00 --> 00:41:09,50 	rolling from side to side, someone avoids the bullets but slips off the roof and clings to the cab's passenger side door.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS319 	01:00:22,00 --> 01:00:30,50 	he examines a chest-high cylindrical object studded with glowing blue components, then grabs a small device about the size of a cigarette lighter and slips it into his pants pocket.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS433 	01:18:42,00 --> 01:18:49,50 	someone slips the concave shield onto his left arm.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS311 	00:25:32,00 --> 00:25:38,50 	as she slips inside, he follows her to a baby's nursery.
CHRONICLE.srt 	CHRONICLE_DVS264 	00:40:36,00 --> 00:40:40,50 	slipping past him, we near the door.
COLOMBIANA.srt 	COLOMBIANA_DVS338 	00:30:09,00 --> 00:30:14,50 	she stumbles and one of her shoes slips off.
COLOMBIANA.srt 	COLOMBIANA_DVS376 	00:33:53,00 --> 00:33:59,50 	she slowly opens a door, slips out and shuts it behind her.
COLOMBIANA.srt 	COLOMBIANA_DVS381 	00:34:21,00 --> 00:34:27,50 	she slips in and opens a cabinet revealing circuit breakers.
COLOMBIANA.srt 	COLOMBIANA_DVS414 	00:36:37,00 --> 00:36:44,50 	as he relieves himself, someone slips out of the stall and creeps up behind him.
COLOMBIANA.srt 	COLOMBIANA_DVS475 	00:42:09,00 --> 00:42:14,50 	someone slips out unnoticed.
COLOMBIANA.srt 	COLOMBIANA_DVS825 	01:19:39,00 --> 01:19:47,50 	she races to a door, unlocks it, and slips into a living room where a long haired man watches tv.
COLOMBIANA.srt 	COLOMBIANA_DVS832 	01:20:07,00 --> 01:20:16,50 	on the 11th floor, a swat officer slips a snake camera under a door while agent someone watches its video monitor.
COLOMBIANA.srt 	COLOMBIANA_DVS875 	01:23:11,00 --> 01:23:19,50 	now as a subway train moves through the tunnel, a uniform clad someone slips out onto a catwalk above it.
DEAR_JOHN.srt 	DEAR_JOHN_DVS370 	00:58:59,00 --> 00:59:08,50 	she parts his shirt, and slips it off his shoulders.
DEAR_JOHN.srt 	DEAR_JOHN_DVS502 	01:13:02,00 --> 01:13:11,50 	as someone slips one arm into a t-shirt, sunlight gleams on the scarred flesh of two bullet wounds on his back.
EASY_A.srt 	EASY_A_DVS82 	00:30:40,00 --> 00:30:46,50 	she slips off a pair of red someone panties from under her skirt.
FLIGHT.srt 	FLIGHT_DVS101 	00:17:56,00 --> 00:18:04,50 	the yoke slips out of ken's hands as someone struggles to gain control, and the plane begins to dive.
FLIGHT.srt 	FLIGHT_DVS113 	00:22:15,00 --> 00:22:22,50 	inside the cabin, someone comes to a rest on the ceiling, and someone sees a young boy slip out of his seat.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS249 	01:07:47,00 --> 01:07:56,50 	someone slips her hand beneath his robe.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS267 	01:09:26,00 --> 01:09:31,50 	he slips out of bed without waking her and pulls his hand.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS124 	00:20:07,00 --> 00:20:26,50 	now fully dressed, he slips out of his room and hurries down the hall.
HUGO.srt 	HUGO_DVS512 	01:15:15,00 --> 01:15:22,50 	the young someone smiles at someone, who slips on a fake beard then gestures with his finger.
HUGO.srt 	HUGO_DVS557 	01:22:27,00 --> 01:22:34,50 	someone steals an apple from a passing cart and slips it into his pocket.
HUGO.srt 	HUGO_DVS785 	01:53:39,00 --> 01:53:44,50 	then slips her arm through his.
IN_TIME.srt 	IN_TIME_DVS135 	00:15:26,00 --> 00:15:32,50 	he slips his own wrist under someone's.
IN_TIME.srt 	IN_TIME_DVS232 	00:24:22,00 --> 00:24:29,50 	he slips his wrist into the cuff-like scanner and watches his clock's balance count down.
