21_JUMP_STREET.srt 	21_JUMP_STREET_DVS431 	01:11:57,00 --> 01:12:05,50 	a light turns green and he speeds on to the freeway.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS153 	00:40:06,00 --> 00:40:13,50 	the datsun speeds across the driveway and bottoms out as it turns onto the street.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS230 	00:54:44,00 --> 00:54:51,50 	now the mustang speeds over railroad tracks back at taco boy.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS308 	01:10:28,00 --> 01:10:34,50 	the van speeds down an industrial road at dusk.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS491 	01:20:38,00 --> 01:20:43,50 	nighttime traffic is a blur of speeded up light.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS268 	00:23:13,00 --> 00:23:22,50 	a hundred yards ahead, the armored truck speeds down the street.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS286 	00:24:41,00 --> 00:24:45,50 	he speeds in to traffic.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS297 	00:25:46,00 --> 00:26:05,50 	looking over, he spots someone's blue van and the armored truck speeding down the highway below.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS289 	00:53:27,00 --> 00:53:36,50 	someone speeds off.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS404 	00:58:27,00 --> 00:58:39,50 	it loses a wheel as it speeds out, but continues down the dirt path.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS118 	00:16:16,00 --> 00:16:26,50 	as the suv speeds toward a closed gate, someone steps in front of it with his gun raised.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS119 	00:16:25,00 --> 00:16:35,50 	the vehicle breaks the gate and speeds off.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS534 	01:23:23,00 --> 01:23:28,50 	on the road, the car speeds toward a box truck.
BRUNO.srt 	BRUNO_DVS157 	00:43:28,00 --> 00:43:44,50 	the speeding car nearly hits them.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS218 	00:38:50,00 --> 00:39:08,50 	pursuing agents shoot the gunman as someone's car speeds away.
