21_JUMP_STREET.srt 	21_JUMP_STREET_DVS95 	00:12:47,00 --> 00:12:52,50 	he spreads his hands in a dramatic shrug.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS677 	01:42:01,00 --> 01:42:07,50 	rejoining someone spread his arms wide in a proud strut.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS163 	01:22:39,00 --> 01:22:44,50 	a smile spreads across someone's lips.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS129 	00:28:22,00 --> 00:28:26,50 	someone spreads his hands apart.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS131 	00:28:33,00 --> 00:28:40,50 	someone mimes drinking a cup of espresso, then spreads his hands and opens his mouth wide.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS132 	00:28:39,00 --> 00:28:46,50 	he mimes drinking a cup of espresso and spreads his hands.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS317 	00:57:25,00 --> 00:57:30,50 	someone mimes a corpse and spreads his arms wide.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS447 	01:11:24,00 --> 01:11:31,50 	back at his apartment, someone spreads a twister mat on the floor.
BLINDDATING.srt 	BLINDDATING_DVS185 	00:48:11,00 --> 00:48:17,50 	someone watches women spreading their legs in thigh machines.
BRUNO.srt 	BRUNO_DVS115 	00:25:43,00 --> 00:26:13,50 	he gestures, as if turning someone around, and spreading his butt cheeks.
BURLESQUE.srt 	BURLESQUE_DVS393 	00:54:24,00 --> 00:54:36,50 	facing the audience, she quickly spreads her knees, then crosses her legs.
BURLESQUE.srt 	BURLESQUE_DVS501 	01:09:33,00 --> 01:09:39,50 	spreading their legs, the dancers bend over and whip their hair.
BURLESQUE.srt 	BURLESQUE_DVS524 	01:12:17,00 --> 01:12:26,50 	one contortionist spreads her legs overhead and the doorman strikes a triangle between her thighs.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS323 	00:28:09,00 --> 00:28:15,50 	as someone drives away, a grin spreads across someone's features.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS467 	00:45:13,00 --> 00:45:20,50 	a sweet smile spreads his boyish face as she giggles with her friends.
CHRONICLE.srt 	CHRONICLE_DVS206 	00:30:21,00 --> 00:30:25,50 	someone spreads his arms.
CHRONICLE.srt 	CHRONICLE_DVS286 	00:43:58,00 --> 00:44:06,50 	later, he stands by as someone edges uneasily down the tightrope with his arms spread for balance.
CHRONICLE.srt 	CHRONICLE_DVS328 	00:49:54,00 --> 00:49:59,50 	someone spreads his fingers wide.
