30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS69 	00:15:50,00 --> 00:15:56,50 	someone and someone tend to a backyard swimming pool.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS83 	00:42:09,00 --> 00:42:16,50 	the swimming pool glimmers outside someone's apartment.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS917 	01:28:27,00 --> 01:28:34,50 	someone leans his head back in a relieved sigh, then swims to the pool's edge.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS342 	01:00:04,00 --> 01:00:09,50 	fallen leaves float in someone's swimming pool.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS349 	00:32:36,00 --> 00:32:45,50 	in a drained swimming pool, a kid with glasses and a hunter's cap preform skateboarding tricks on the curved concrete.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS416 	00:39:12,00 --> 00:39:18,50 	as someone swims back to his board, another towering wave crashes down on him.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS451 	00:43:50,00 --> 00:43:56,50 	swimming underwater, he grabs her ankle and pulls her back.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS454 	00:44:10,00 --> 00:44:16,50 	blond watches as someone playfully splashes someone and swims off.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS652 	01:02:42,00 --> 01:02:48,50 	as the creature swims away, the mentor grabs the teen and urges him up toward the surface.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS865 	01:24:55,00 --> 01:25:01,50 	at the swimming pool, rain pelts the concrete patio.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1077 	01:42:53,00 --> 01:42:57,50 	someone swims over to the fishing boat.
CHRONICLE.srt 	CHRONICLE_DVS177 	00:26:45,00 --> 00:26:49,50 	someone swims to the trucks.
COLOMBIANA.srt 	COLOMBIANA_DVS610 	00:57:27,00 --> 00:57:32,50 	sharks swim in the water beneath her.
COLOMBIANA.srt 	COLOMBIANA_DVS625 	00:59:03,00 --> 00:59:09,50 	as it swims away, a hand appears under the glass.
COLOMBIANA.srt 	COLOMBIANA_DVS627 	00:59:12,00 --> 00:59:19,50 	two sharks swim nearby paying little attention to the graceful intruder.
COLOMBIANA.srt 	COLOMBIANA_DVS670 	01:02:46,00 --> 01:02:54,50 	a photo displays the bloody swimming pool and a caption reads, "sharks eat shark."
DEAR_JOHN.srt 	DEAR_JOHN_DVS27 	00:03:10,00 --> 00:03:32,50 	underwater, the soldier swims down along the someone's barnacled supports.
DEAR_JOHN.srt 	DEAR_JOHN_DVS28 	00:03:34,00 --> 00:03:39,50 	the soldier swims toward the beach.
DEAR_JOHN.srt 	DEAR_JOHN_DVS118 	00:17:56,00 --> 00:18:05,50 	he crests one, then swims farther out.
