21_JUMP_STREET.srt 	21_JUMP_STREET_DVS173 	00:29:45,00 --> 00:29:50,50 	smirking, someone tilts her head.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS83 	00:06:45,00 --> 00:06:50,50 	someone tilts his head and leans toward his friend.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS157 	00:14:32,00 --> 00:14:37,50 	outside the courthouse, someone slowly tilts his head.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS572 	00:55:58,00 --> 00:56:03,50 	he slowly tilts his head back, and his father turns to him.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS682 	01:10:07,00 --> 01:10:13,50 	she tilts her head and takes a small slow breath.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS855 	01:24:17,00 --> 01:24:24,50 	someone drives the truck out of the cargo hold, tilting the chopper's nose upward.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS179 	00:34:10,00 --> 00:34:15,50 	someone tilts back his head and rolls his eyes.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS610 	01:25:46,00 --> 01:25:57,50 	the knife's tip nears someone's face, but the calm vampire tilts his head and dodges the blade.
BAD_TEACHER.srt 	BAD_TEACHER_DVS148 	00:40:28,00 --> 00:40:37,50 	with a baffled look, someone tilts his head.
BRUNO.srt 	BRUNO_DVS78 	00:16:36,00 --> 00:16:41,50 	someone tilts his head, checking out someone's.
BURLESQUE.srt 	BURLESQUE_DVS108 	00:14:11,00 --> 00:14:18,50 	as the pixie-faced dancer brushes on blush, the blonde tilts her head at her.
BURLESQUE.srt 	BURLESQUE_DVS295 	00:40:26,00 --> 00:40:32,50 	she gently tilts someone's face and examines her handiwork.
BURLESQUE.srt 	BURLESQUE_DVS297 	00:40:36,00 --> 00:40:42,50 	tilting her head back and forth, she touches her face.
BURLESQUE.srt 	BURLESQUE_DVS721 	01:49:01,00 --> 01:49:07,50 	with her head tilted, someone shifts her gaze over his face.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS588 	01:41:12,00 --> 01:41:18,50 	the pilot tilts the flying bomb left and right, then dives straight down.
COLOMBIANA.srt 	COLOMBIANA_DVS427 	00:37:27,00 --> 00:37:33,50 	tilting her head, she nudges the barrel against his brow.
COLOMBIANA.srt 	COLOMBIANA_DVS524 	00:47:23,00 --> 00:47:31,50 	scanning the feeds, she plucks out some more noodles, tilts her head back, then drops some into her mouth.
COLOMBIANA.srt 	COLOMBIANA_DVS564 	00:51:35,00 --> 00:51:44,50 	she lifts her head ecstatically and tilts it side to side as the handsome artist nibbles her neck and kisses her chest.
COLOMBIANA.srt 	COLOMBIANA_DVS717 	01:08:29,00 --> 01:08:36,50 	tilting her head, she rumples her lips then grazes them with her fingers as her eyes fill with tears.
DISTRICT_9.srt 	DISTRICT_9_DVS759 	01:29:43,00 --> 01:29:59,50 	it shifts its shoulders, then tilts its head to look at someone, who kneels in front of him held at gunpoint by a mercenary.
FLIGHT.srt 	FLIGHT_DVS969 	01:54:50,00 --> 01:54:55,50 	he tilts his head back, and presses the cloth to his nostril.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS105 	00:16:21,00 --> 00:16:59,50 	lowering his chain, the rider sways side to side, his head tilting to and fro.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS164 	00:25:33,00 --> 00:25:40,50 	someone tilts his head.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS286 	00:44:05,00 --> 00:44:10,50 	tilting his head, someone scrutinizes him.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS523 	01:14:35,00 --> 01:14:41,50 	his acolytes tilt their eyes back.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS613 	01:27:03,00 --> 01:27:09,50 	she tilts the boy's head back gently.
GREEN_ZONE.srt 	GREEN_ZONE_DVS213 	00:54:34,00 --> 00:54:39,50 	someone smugly tilts his head.
HUGO.srt 	HUGO_DVS338 	00:51:32,00 --> 00:51:38,50 	someone sidles beside the automaton and tilts his head.
IN_TIME.srt 	IN_TIME_DVS115 	00:13:14,00 --> 00:13:20,50 	someone blinks quizzically and tilts his head.
IN_TIME.srt 	IN_TIME_DVS210 	00:22:01,00 --> 00:22:07,50 	with his eyes squeezed shut, he tilts his face skyward.
IN_TIME.srt 	IN_TIME_DVS779 	01:22:06,00 --> 01:22:12,50 	as he collapses, someone tilts his head with a smirk.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS336 	01:48:07,00 --> 01:48:14,50 	someone tilts his head and grins.
KARATE_KID.srt 	KARATE_KID_DVS942 	01:17:13,00 --> 01:17:20,50 	our view tilts down to a dizzyingly long stairway beneath us.
KARATE_KID.srt 	KARATE_KID_DVS972 	01:19:40,00 --> 01:19:47,50 	her eyes wide, the woman slowly tilts her head, side to side,
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS54 	00:18:25,00 --> 00:18:41,50 	someone tilts her head curiously.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS93 	00:23:15,00 --> 00:23:24,50 	tilting her head she considers him.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS221 	00:29:35,00 --> 00:29:40,50 	someone tilts her head and looks up.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS921 	01:32:05,00 --> 01:32:11,50 	standing back, he reaches out and tilts the container over someone's head.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS983 	01:36:48,00 --> 01:36:54,50 	someone tilts his head back and takes a big gulp.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1071 	01:47:46,00 --> 01:47:52,50 	the writer lightly tilts his head and shifts his eyes.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS130 	00:20:35,00 --> 00:20:42,50 	as the bird tilts his head curiously, someone minimizes the recipe window.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS103 	00:24:15,00 --> 00:24:26,50 	with her head tilted, someone someone watches as the bird hovers over an end table.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS120 	00:26:44,00 --> 00:26:49,50 	someone tilts her head.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS230 	00:48:18,00 --> 00:48:24,50 	the mysterious woman tilts her head.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS240 	00:50:09,00 --> 00:50:14,50 	someone tilts her head.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS350 	01:16:11,00 --> 01:16:18,50 	he scratches behind his ears, then tilts his head as if shaking out water.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS505 	01:33:06,00 --> 01:33:12,50 	he walks into a room where someone lies in a slightly tilted bed someone shuts the door.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS342 	01:22:06,00 --> 01:22:10,50 	someone tilts her head.
PROMETHEUS.srt 	PROMETHEUS_DVS401 	00:40:12,00 --> 00:40:21,50 	the android tilts his head curiously and touches some spilling down the side with a gloved finger.
PROMETHEUS.srt 	PROMETHEUS_DVS784 	01:24:17,00 --> 01:24:24,50 	the med pot starts to tilt upright and someone slams a button beside her.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS104 	00:17:03,00 --> 00:17:08,50 	he tilts his ear toward the chairman.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS319 	01:01:25,00 --> 01:01:32,50 	in the common room, someone tilts his head and clenches his jaw.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS360 	01:08:57,00 --> 01:09:03,50 	someone narrows his eyes and tilts his head.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS377 	01:12:05,00 --> 01:12:14,50 	someone tilts his head, his eyes narrowing as he meets someone's gaze.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS386 	01:14:22,00 --> 01:14:34,50 	homer looks away nervously as someone sits with a worried look, his face tilted down.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS576 	01:26:41,00 --> 01:26:48,50 	tilting his head back and grinning, he pounds the desk with both hands.
SANCTUM.srt 	SANCTUM_DVS166 	00:34:23,00 --> 00:34:27,50 	he tilts his head alertly.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS287 	00:19:21,00 --> 00:19:27,50 	someone shifts her woeful eyes to her own lap and tilts her head thoughtfully.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS503 	00:32:48,00 --> 00:32:52,50 	a porter tilts it forward,
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS977 	01:03:40,00 --> 01:03:47,50 	someone swallows, tilts her head, and presses her brow to her sister's.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1095 	01:14:50,00 --> 01:14:57,50 	someone listens with a gentle gaze, her head tilted to one side.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1338 	01:31:57,00 --> 01:32:01,50 	her gaze falls on something else in the locker and she tilts her head for a better look.
SPARKLE_2012.srt 	SPARKLE_2012_DVS114 	00:18:35,00 --> 00:18:42,50 	one dancer wears a hat tilted over his eyes, a lit cigarette in his mouth.
SPARKLE_2012.srt 	SPARKLE_2012_DVS147 	00:25:09,00 --> 00:25:13,50 	he tilts his head and smiles.
SPARKLE_2012.srt 	SPARKLE_2012_DVS376 	01:03:40,00 --> 01:03:44,50 	tilting her head.
SPARKLE_2012.srt 	SPARKLE_2012_DVS587 	01:36:04,00 --> 01:36:08,50 	someone tilts his head tenderly.
SPARKLE_2012.srt 	SPARKLE_2012_DVS616 	01:39:59,00 --> 01:40:04,50 	tilting her head, she gives a gentle gaze.
SUPER_8.srt 	SUPER_8_DVS232 	00:39:46,00 --> 00:39:52,50 	someone smiles then makes her face go slack and tilts her head sideways.
SUPER_8.srt 	SUPER_8_DVS450 	01:20:02,00 --> 01:20:07,50 	the bus rocks then tilts onto one set of wheels.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS39 	00:04:35,00 --> 00:04:40,50 	tilting his head, snowy steps forward.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS233 	00:36:04,00 --> 00:36:12,50 	he lands on a bunk beneath jaggerman, as the other stack of cots tilt over.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS415 	01:00:32,00 --> 01:00:40,50 	pirates with swords climb their ship's tilted mast toward the unicorn, which lies on its side.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS454 	01:06:23,00 --> 01:06:34,50 	inside the ship sir someone tilts a book in a bookcase, opening a secret compartment in the floor.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS408 	01:18:21,00 --> 01:18:30,50 	approaching the young artist, she regards the portrait appraisingly then tilts her head and smiles.
THE_CALL.srt 	THE_CALL_DVS72 	00:04:14,00 --> 00:04:19,50 	she tilts her head and smiles.
THE_CALL.srt 	THE_CALL_DVS200 	00:16:32,00 --> 00:16:38,50 	she tilts her head toward her boyfriend and looks at him with glistening eyes.
THE_CALL.srt 	THE_CALL_DVS492 	00:38:00,00 --> 00:38:05,50 	she carefully tilts the can with both hands.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS133 	00:22:07,00 --> 00:22:12,50 	someone tilts his head sheepishly.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS573 	01:25:32,00 --> 01:25:40,50 	as she leans in to hug him, someone tilts his head and gives her a full kiss on the lips instead.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS598 	01:28:02,00 --> 01:28:09,50 	he caresses her hair, then tilts her face up to meet his gaze.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS702 	01:38:33,00 --> 01:38:38,50 	while her head lies tilted to one side.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1360 	02:26:10,00 --> 02:26:17,50 	she tilts her face away from a security camera.
THE_SITTER.srt 	THE_SITTER_DVS8 	00:06:33,00 --> 00:06:39,50 	she tilts her head staring meaningfully at someone.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS256 	00:48:10,00 --> 00:48:18,50 	tilting his side mirror, someone spots it.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS446 	00:47:25,00 --> 00:47:30,50 	he tilts his head at someone.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS730 	01:20:31,00 --> 01:20:37,50 	someone grins, tilting his head back to watch.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS805 	01:25:32,00 --> 01:25:37,50 	someone takes in the situation, then tilts her head.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS549 	01:13:31,00 --> 01:13:39,50 	someone tilts his head toward the ceiling.
