21_JUMP_STREET.srt 	21_JUMP_STREET_DVS23 	00:03:03,00 --> 00:03:09,50 	with tearful eyes he notices the awkward teen watching him.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS350 	00:58:31,00 --> 00:58:38,50 	as someone and his friends watch, someone mouths, "this woman's crazy."
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS408 	01:08:49,00 --> 01:08:54,50 	someone and someone watch the deal go down.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS463 	01:15:56,00 --> 01:16:02,50 	in the auditorium the audience watches someone perform with the understudy.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS488 	01:18:33,00 --> 01:18:39,50 	playing foosball, the others watch the pair clear out their desks.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS535 	01:22:50,00 --> 01:22:55,50 	someone watches him set it on the counter.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS551 	01:25:24,00 --> 01:25:28,50 	someone watches them go.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS553 	01:25:30,00 --> 01:25:41,50 	the teenager opens the doors of a suit to reveal coach someone who sits with a few piatas, watching tv and eating cool ranch doritos.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS332 	01:15:00,00 --> 01:15:08,50 	someone screams as he watches his partner collapse onto his back.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS345 	01:16:37,00 --> 01:16:42,50 	he watches someone hobble off with his gun.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS59 	00:33:33,00 --> 00:33:41,50 	now at smart tech, someone finds someone in an armchair watching a wall of tvs.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS81 	00:41:40,00 --> 00:41:46,50 	someone watches excitedly.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS90 	00:47:15,00 --> 00:47:21,50 	now he watches everybody loves raymond.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS109 	00:55:46,00 --> 00:55:51,50 	someone watches the bourne identity.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS159 	01:21:22,00 --> 01:21:26,50 	he watched the couple kiss.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS98 	00:16:00,00 --> 00:16:07,50 	his friend and colleague grins as someone watches someone walk across the room.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS146 	00:27:44,00 --> 00:27:50,50 	she grabs a dummy remote from a coffee table and pretends to watch tv.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS207 	00:35:11,00 --> 00:35:17,50 	at home, they're on a sofa watching a dvd called sweet and shower.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS385 	01:09:32,00 --> 01:09:38,50 	someone watches glumly as someone chats to two guys.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS422 	01:14:53,00 --> 01:14:59,50 	his colleagues watch in stunned silence as someone walks out.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS445 	01:17:01,00 --> 01:17:06,50 	someone and someone in her wedding dress, sit in the back of the bus in the last scene from the graduate, which someone and someone are watching in the cinema.
